timestamp,views,subscriptions,favorited,lifetime_subscriptions,lifetime_favorited,file_size,title
2026-09-04T17:16:30,43,10,5,10,5,74109,No Catch Fix - MP Fishing [B42.20]
2026-09-08T08:58:34,196,158,11,167,11,75432,No Catch Fix - MP Fishing [B42.20]
